slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,image_url,generated_at,n_trades_used,join_key,tier_item_name,alias,category,tier_tier,tier_ordinal,sub_tier,sub_tier_ordinal,obtainability,is_unobtainable,is_unstable,demand_status,demand_ordinal,rarity_score,popularity_score,has_detailed_record,fallback_value_score,has_tier_enrichment
elos-sledgehammer,Elo's Sledgehammer,ES,4473.69,3802.65,5144.74,medium,Legendary,A-,High,1.57,594,ratio_chain,https://gpovalues.com/item/elos-sledgehammer,https://gpovalues.com/images/Elo%27s%20Sledgehammer.webp,2026-09-03T05:30:50.111226+00:00,76168,elo's sledgehammer,Elo's Sledgehammer,,,B+,4.0,Low Tier,1.0,,,,,,,,False,12.4,True
pika,Pika,PIKA,3769.3,3392.37,4146.23,high,Legendary,B+,Low,0.59,11329,ratio_chain,https://gpovalues.com/item/pika,https://gpovalues.com/images/Pika%20Pika%20no%20Mi%20%28Glint-Glint%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,pika fruit,Pika Fruit,Pika,Devil Fruit,,4.0,Low Tier,1.0,DROP,False,True,Low Demand,1.0,2.0,6.0,True,18.0,True
pteranodon,Pteranodon,PTERO,3524.52,3172.06,3876.96,high,Mythical,A-,Low,0.39,3090,ratio_chain,https://gpovalues.com/item/pteranodon,https://gpovalues.com/images/Ryu%20Ryu%20no%20Mi%2C%20Model%20Pteranodon.webp,2026-09-03T05:30:50.111226+00:00,76168,pteranodon,,,,,,,,,,,,,,,,,False
endbringer-armor,Endbringer Armor,EA,3198.62,2718.82,3678.41,medium,Legendary,B,Low,0.36,364,ratio_chain,https://gpovalues.com/item/endbringer-armor,https://gpovalues.com/images/Endbringer%20Armor.webp,2026-09-03T05:30:50.111226+00:00,76168,endbringer armor,Endbringer Armor,,,A-,5.0,Mid Tier,2.0,,,,,,,,False,15.5,True
big-mama,Big Mama,BM,3875.97,3294.57,4457.37,medium,Mythical,,Stable,1.13,802,ratio_chain,https://gpovalues.com/item/big-mama,https://gpovalues.com/images/Big%20Mama%27s%20Outfit%20%28Male%29.webp,2026-09-03T05:30:50.111226+00:00,76168,big mama,,,,,,,,,,,,,,,,,False
snoozy-neko,Snoozy Neko,SN,3511.1,2984.43,4037.76,medium,Mythical,A-,Low,0.38,828,ratio_chain,https://gpovalues.com/item/snoozy-neko,https://gpovalues.com/images/Snoozy%20Neko.webp,2026-09-03T05:30:50.111226+00:00,76168,snoozy neko,Snoozy Neko,,,B+,4.0,Low Tier,1.0,,,,,,,,False,12.4,True
true-baals-guard,True Ba'al's Guard,TBG,3468.81,2948.49,3989.14,medium,Legendary,B+,Low,0.23,873,ratio_chain,https://gpovalues.com/item/true-baals-guard,https://gpovalues.com/images/True%20Ba%27al%27s%20Guard.webp,2026-09-03T05:30:50.111226+00:00,76168,true ba'al's guard,True Ba'al's Guard,TBG,,A-,5.0,High Tier,3.0,,,,,,,,False,15.5,True
flamingo-boat,Flamingo Boat,FB,3176.22,2858.6,3493.84,high,Rare,A,Low,0.51,1191,ratio_chain,https://gpovalues.com/item/flamingo-boat,https://gpovalues.com/images/Flamingo%20Boat.webp,2026-09-03T05:30:50.111226+00:00,76168,flamingo boat,Flamingo Boat,,,A,6.0,Low Tier,1.0,,,,,,,,False,18.6,True
ope,Ope,OPE,2894.21,2604.78,3183.62,high,Mythical,B+,Low,0.15,3013,ratio_chain,https://gpovalues.com/item/ope,https://gpovalues.com/images/Ope%20Ope%20no%20Mi%20%28Op-Op%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,ope,,,,,,,,,,,,,,,,,False
hoverboard,Hoverboard,HOVERBOARD,2868.82,2438.5,3299.15,medium,Legendary,,Low,0.18,703,ratio_chain,https://gpovalues.com/item/hoverboard,https://gpovalues.com/images/Hoverboard.webp,2026-09-03T05:30:50.111226+00:00,76168,hoverboard,,,,,,,,,,,,,,,,,False
cupids-chakram,Cupid's Chakram,CHAK,2398.8,2038.98,2758.62,medium,Legendary,B+,Low,0.24,786,ratio_chain,https://gpovalues.com/item/cupids-chakram,https://gpovalues.com/images/Cupid%27s%20Chakram.webp,2026-09-03T05:30:50.111226+00:00,76168,cupid's chakram,Cupid's Chakram,,,A-,5.0,Low Tier,1.0,,,,,,,,False,15.5,True
katakuri,Katakuri,KATAKURI,2720.0,2312.0,3128.0,medium,Mythical,,Stable,1.08,714,ratio_chain,https://gpovalues.com/item/katakuri,https://gpovalues.com/images/Mochi%20Mochi%20no%20Mi%20%28Mochi-Mochi%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,katakuri,,,,,,,,,,,,,,,,,False
buddha,Buddha,BUDDHA,2452.03,2206.83,2697.22,high,Mythical,B+,Low,0.33,2963,ratio_chain,https://gpovalues.com/item/buddha,https://gpovalues.com/images/Hito%20Hito%20no%20Mi%2C%20Model%20Daibutsu.webp,2026-09-03T05:30:50.111226+00:00,76168,buddha,,,,,,,,,,,,,,,,,False
mera-mera,Mera Mera,MERA,2307.79,2077.01,2538.57,high,Legendary,B-,Low,0.52,1306,ratio_chain,https://gpovalues.com/item/mera-mera,https://gpovalues.com/images/Mera-Mera%20no%20Mi%20%28Flame-Flame%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,mera mera,,,,,,,,,,,,,,,,,False
sunken-any,Sunken (any),SUNKEN,2132.2,1812.37,2452.03,medium,Legendary,,Low,0.06,270,ratio_chain,https://gpovalues.com/item/sunken-any,https://gpovalues.com/images/Sunken%20%28any%29.webp,2026-09-03T05:30:50.111226+00:00,76168,sunken (any),,,,,,,,,,,,,,,,,False
yami,Yami,YAMI,2132.2,1812.37,2452.03,medium,Legendary,B-,Low,0.17,579,ratio_chain,https://gpovalues.com/item/yami,https://gpovalues.com/images/Yami%20Yami%20no%20Mi%20%28Dark-Dark%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,yami,,,,,,,,,,,,,,,,,False
hollows-fang,Hollow's Fang,HFANG,2307.79,1961.62,2653.96,medium,Legendary,B+,Low,0.63,226,ratio_chain,https://gpovalues.com/item/hollows-fang,https://gpovalues.com/images/Hollow%27s%20Fang.webp,2026-09-03T05:30:50.111226+00:00,76168,hollow's fang,Hollow's Fang,HFANG,,B+,4.0,High Tier,3.0,,,,,,,,False,12.4,True
bat-swarm,Bat Swarm,BS,2709.15,2302.78,3115.52,medium,Legendary,B+,High,1.68,758,ratio_chain,https://gpovalues.com/item/bat-swarm,https://gpovalues.com/images/Bat%20Swarm.webp,2026-09-03T05:30:50.111226+00:00,76168,bat swarm,Bat Swarm,,,A-,5.0,Mid Tier,2.0,,,,,,,,False,15.5,True
rogers-ace,Roger's Ace,ACE,2080.54,1872.48,2288.58,high,Mythical,B+,Low,0.39,2430,ratio_chain,https://gpovalues.com/item/rogers-ace,https://gpovalues.com/images/Roger%27s%20Ace.webp,2026-09-03T05:30:50.111226+00:00,76168,roger's ace,Roger's Ace,Ace,Mythical Weapon,A-,5.0,Mid Tier,2.0,DROP,False,False,Stable Demand,2.0,7.0,6.0,True,27.0,True
suna,Suna,SUNA,2080.4,1872.36,2288.44,high,Legendary,B+,Low,0.13,1009,ratio_chain,https://gpovalues.com/item/suna,https://gpovalues.com/images/Suna%20Suna%20no%20Mi%20%28Sand-Sand%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,suna,,,,,,,,,,,,,,,,,False
magu,Magu,MAGU,1471.37,1324.22,1618.5,high,Legendary,B+,Low,0.28,3405,ratio_chain,https://gpovalues.com/item/magu,https://gpovalues.com/images/Magu%20Magu%20no%20Mi%20%28Magma-Magma%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,magu,,,,,,,,,,,,,,,,,False
hie,Hie,HIE,1460.07,1241.07,1679.08,medium,Legendary,B,Low,0.8,972,ratio_chain,https://gpovalues.com/item/hie,https://gpovalues.com/images/Hie%20Hie%20no%20Mi%20%28Ice-Ice%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,hie,,,,,,,,,,,,,,,,,False
legendary-fruit-chest,Legendary Fruit Chest,LC,1459.94,1313.94,1605.93,high,Legendary,B+,Stable,0.94,10596,ratio_chain,https://gpovalues.com/item/legendary-fruit-chest,https://gpovalues.com/images/Legendary%20Fruit%20Chest.webp,2026-09-03T05:30:50.111226+00:00,76168,legendary fruit chest,Legendary Fruit Chest,LC,,B,3.0,High Tier,3.0,,,,,,,,False,9.3,True
goro,Goro,GORO,1052.61,947.35,1157.87,high,Legendary,B+,Stable,0.98,1456,ratio_chain,https://gpovalues.com/item/goro,https://gpovalues.com/images/Goro%20Goro%20no%20Mi%20%28Rumble-Rumble%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,goro,,,,,,,,,,,,,,,,,False
ito,Ito,ITO,865.89,736.0,995.76,medium,Legendary,B+,Low,0.66,783,ratio_chain,https://gpovalues.com/item/ito,https://gpovalues.com/images/Ito%20Ito%20no%20Mi%20%28String-String%29.webp,2026-09-03T05:30:50.111226+00:00,76168,ito,,,,,,,,,,,,,,,,,False
smoke,Smoke,SMOKE,800.0,680.0,920.0,medium,Legendary,B-,Low,0.17,432,ratio_chain,https://gpovalues.com/item/smoke,https://gpovalues.com/images/Moku%20Moku%20no%20Mi%20%28Smoke-Smoke%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,smoke,,,,,,,,,,,,,,,,,False
iceborn-any,Iceborn (any),ICEBORN,710.74,604.12,817.34,medium,Legendary,,Low,0.2,207,ratio_chain,https://gpovalues.com/item/iceborn-any,https://gpovalues.com/images/Iceborn%20Katana.webp,2026-09-03T05:30:50.111226+00:00,76168,iceborn (any),,,,,,,,,,,,,,,,,False
gura,Gura,GURA,669.92,569.43,770.41,medium,Legendary,B+,Low,0.26,938,ratio_chain,https://gpovalues.com/item/gura,https://gpovalues.com/images/Gura%20Gura%20no%20Mi%20%28Tremor-Tremor%20Fruit%29.webp,2026-09-03T05:30:50.111226+00:00,76168,gura,,,,,,,,,,,,,,,,,False
kraken-blade,Kraken Blade,KB,763.12,648.65,877.59,medium,Collectable,,Stable,0.97,343,ratio_chain,https://gpovalues.com/item/kraken-blade,https://gpovalues.com/images/Kraken%20Blade%20%28Gold%29.webp,2026-09-03T05:30:50.111226+00:00,76168,kraken blade,Kraken Blade,Azure,,B+,4.0,High Tier,3.0,,,,,,,,False,12.4,True
kraken-blade,Kraken Blade,KB,763.12,648.65,877.59,medium,Collectable,,Stable,0.97,343,ratio_chain,https://gpovalues.com/item/kraken-blade,https://gpovalues.com/images/Kraken%20Blade%20%28Gold%29.webp,2026-09-03T05:30:50.111226+00:00,76168,kraken blade,Kraken Blade,Blue,,B-,2.0,Low Tier,1.0,,,,,,,,False,6.2,True
spare-fruit-bag,Spare Fruit Bag,SFB,797.09,677.54,916.66,medium,Rare,,High,1.55,507,ratio_chain,https://gpovalues.com/item/spare-fruit-bag,https://gpovalues.com/images/Spare%20Fruit%20Bag.webp,2026-09-03T05:30:50.111226+00:00,76168,spare fruit bag,,,,,,,,,,,,,,,,,False
legendary-fish-bait,Legendary Fish Bait,LFB,2709.64,1896.75,3522.53,high,Rare,,High,2.3,3961,1to1_alignment,https://gpovalues.com/item/legendary-fish-bait,https://gpovalues.com/images/Legendary%20Fish%20Bait.webp,2026-09-03T05:30:50.111226+00:00,76168,legendary fish bait,,,,,,,,,,,,,,,,,False
rare-fruit-chest,Rare Fruit Chest,RFC,725.56,507.89,943.24,medium,Rare,,Stable,1.16,246,1to1_alignment,https://gpovalues.com/item/rare-fruit-chest,https://gpovalues.com/images/Rare%20Fruit%20Chest.webp,2026-09-03T05:30:50.111226+00:00,76168,rare fruit chest,,,,,,,,,,,,,,,,,False
sp-reset-essence,SP Reset Essence,SPR,118.96,95.17,142.76,low,Common,F,Low,0.79,193,ratio_chain,https://gpovalues.com/item/sp-reset-essence,https://gpovalues.com/images/SP%20Reset%20Essence.webp,2026-09-03T05:30:50.111226+00:00,76168,sp reset essence,SP Reset Essence,,,F,1.0,,,,,,,,,,False,3.1,True
special-tailor-token,Special Tailor Token,STT,124.48,112.02,136.92,high,Collectable,,Low,0.52,3242,ratio_chain,https://gpovalues.com/item/special-tailor-token,https://gpovalues.com/images/Special%20Tailor%20Token.webp,2026-09-03T05:30:50.111226+00:00,76168,special tailor token,,,,,,,,,,,,,,,,,False
fish-bait,Fish Bait,FB,2275.04,1592.53,2957.56,high,,,High,2.29,1056,1to1_alignment,https://gpovalues.com/item/fish-bait,https://gpovalues.com/images/Fish%20Bait.webp,2026-09-03T05:30:50.111226+00:00,76168,fish bait,,,,,,,,,,,,,,,,,False
bounty-per-unit,Bounty (per unit),BOUNTY,0.0291958618149019,0.0145979309074509,0.0437937927223529,high,,A+,,,639,,https://gpovalues.com/,,2026-09-03T05:30:50.111226+00:00,76168,2m bounty,2M Bounty,Bounty,Currency / Service,,7.0,High Tier,3.0,GAMEPLAY,False,True,Low Demand,1.0,7.0,1.0,True,24.0,True
